time	V(v0)	V(v3)
3.089846764558734e-05	-2.026043e-07	6.061070e-03
3.104545295259373e-05	-1.857948e-07	3.334998e-03
3.112760999705603e-05	-1.722732e-07	1.817884e-03
3.120976704151833e-05	-1.564514e-07	3.133260e-04
3.129192408598062e-05	-1.383293e-07	-1.178674e-03
3.137408113044293e-05	-1.179070e-07	-2.658118e-03
3.145623817490523e-05	-9.518446e-08	-4.125004e-03
3.153839521936752e-05	-7.016168e-08	-5.579333e-03
3.162055226382982e-05	-4.283866e-08	-7.021105e-03
3.170600148257982e-05	-1.391975e-08	-8.495113e-03
3.180365773257982e-05	2.034579e-08	-1.015517e-02
3.190131398257982e-05	5.532706e-08	-1.178977e-02
3.199897023257983e-05	9.039507e-08	-1.339244e-02
3.209662648257983e-05	1.249102e-07	-1.495912e-02
3.219428273257983e-05	1.582363e-07	-1.648484e-02
3.229193898257983e-05	1.897542e-07	-1.796370e-02
3.238959523257984e-05	2.188755e-07	-1.938879e-02
3.248725148257984e-05	2.450553e-07	-2.075221e-02
3.252733305170651e-05	2.549010e-07	-2.130344e-02
3.256741462083319e-05	2.640703e-07	-2.183775e-02
3.260749618995986e-05	2.725632e-07	-2.235515e-02
3.264757775908653e-05	2.803798e-07	-2.285563e-02
3.268765932821320e-05	2.875200e-07	-2.333920e-02
3.272774089733988e-05	2.939839e-07	-2.380586e-02
3.276782246646655e-05	2.997714e-07	-2.425561e-02
3.286547871646655e-05	3.105782e-07	-2.528053e-02
3.294862875703689e-05	3.161396e-07	-2.607337e-02
3.304087124327050e-05	3.183100e-07	-2.684645e-02
3.312653376547807e-05	3.165465e-07	-2.745582e-02
3.322419001547807e-05	3.101580e-07	-2.801121e-02
3.332184626547807e-05	2.992562e-07	-2.841410e-02
3.341950251547807e-05	2.840848e-07	-2.864904e-02
3.351715876547808e-05	2.649711e-07	-2.870568e-02
3.361481501547808e-05	2.423178e-07	-2.857484e-02
3.371247126547808e-05	2.165942e-07	-2.824872e-02
3.381012751547809e-05	1.883259e-07	-2.772118e-02
3.390778376547809e-05	1.580821e-07	-2.698795e-02
3.400544001547809e-05	1.264637e-07	-2.604686e-02
3.413971735922809e-05	8.188131e-08	-2.445695e-02
3.428620173422809e-05	3.351056e-08	-2.219208e-02
3.438385798422810e-05	2.387474e-09	-2.046801e-02
3.448151423422810e-05	-2.717887e-08	-1.855963e-02
3.457917048422810e-05	-5.467588e-08	-1.647911e-02
3.467682673422811e-05	-7.964839e-08	-1.424106e-02
3.477448298422811e-05	-1.017082e-07	-1.186235e-02
3.487213923422811e-05	-1.205418e-07	-9.366368e-03
3.495111017193452e-05	-1.332507e-07	-7.270126e-03
3.512804219811759e-05	-1.531452e-07	-2.396971e-03
3.517730628851937e-05	-1.564937e-07	-9.996764e-04
3.522657037892115e-05	-1.589646e-07	3.964863e-04
3.527583446932294e-05	-1.605581e-07	1.791517e-03
3.532509855972472e-05	-1.612741e-07	3.185417e-03
3.537436265012651e-05	-1.611126e-07	4.578185e-03
3.542362674052829e-05	-1.600735e-07	5.969821e-03
3.547289083093007e-05	-1.581571e-07	7.360325e-03
3.553717188583556e-05	-1.544352e-07	9.152873e-03
3.560145294074105e-05	-1.497491e-07	1.089850e-02
3.566573399564653e-05	-1.440988e-07	1.259720e-02
3.573001505055201e-05	-1.374843e-07	1.424897e-02
3.579429610545749e-05	-1.299055e-07	1.585383e-02
3.585857716036298e-05	-1.213625e-07	1.741176e-02
3.592285821526846e-05	-1.118553e-07	1.892276e-02
3.602051446526847e-05	-9.731688e-08	2.106174e-02
3.611817071526847e-05	-8.226773e-08	2.302305e-02
3.621582696526847e-05	-6.722281e-08	2.479016e-02
